"FTHG","P90_home_H","HC","HF","HFRM_H"
0,1.66666666666667,-0.429625734229671,-0.715275168889188,-0.8
2,2.66666666666667,0.236732547432676,0.0050549481900294,0.2
3,1.66666666666667,0.236732547432676,0.725385065269247,-0.6
2,2.33333333333333,0.56991168826385,1.20560514332206,1.2
0,2,-0.0964465933984977,0.965495104295653,-0.4
0,0.833333333333333,-0.0964465933984977,0.245164987216435,-0.8
0,4.5,1.2362699699262,-0.235055090836377,2
2,3.16666666666667,1.2362699699262,0.485275026242841,1.2
0,1.16666666666667,-1.09598401589202,-1.195495246942,-0.6
2,3,2.23580739241972,-1.195495246942,0.2
1,3.66666666666667,-2.09552143838554,-1.43560528596841,0
2,4.5,1.2362699699262,-1.91582536402122,3.4
2,2.66666666666667,0.236732547432676,0.0050549481900294,0.6
4,2,0.236732547432676,-1.43560528596841,0
1,2.66666666666667,-1.09598401589202,1.44571518234846,1.8
4,3.5,0.236732547432676,-0.715275168889188,1.2
2,2.57142857142857,-0.762804875060845,1.20560514332206,0.8
2,1,-1.42916315672319,-0.715275168889188,-0.8
2,2.14285714285714,-1.09598401589202,1.68582522137487,-1.2
0,3.16666666666667,-1.42916315672319,0.245164987216435,0.4
0,2,1.2362699699262,0.0050549481900294,-0.2
0,1.42857142857143,-0.0964465933984977,-1.195495246942,-1
1,2.85714285714286,-1.76234229755437,0.965495104295653,0.2
2,2,-1.09598401589202,-0.715275168889188,-0.2
2,2.42857142857143,-0.0964465933984977,-0.475165129862782,1
0,1.57142857142857,-0.429625734229671,-0.715275168889188,-1
0,3,0.236732547432676,0.725385065269247,1.2
1,1.57142857142857,-0.0964465933984977,-0.955385207915594,-0.8
0,1.42857142857143,-1.09598401589202,-0.235055090836377,-0.4
2,2.57142857142857,-1.76234229755437,-0.475165129862782,-0.8
2,2,-0.0964465933984977,-1.195495246942,-0.2
2,1.42857142857143,-0.0964465933984977,0.965495104295653,-1.4
2,2.42857142857143,-0.0964465933984977,-0.235055090836377,0.2
3,2.85714285714286,-0.429625734229671,1.92593526040128,1
1,2.71428571428571,0.56991168826385,1.44571518234846,0.4
2,2.85714285714286,-0.429625734229671,0.965495104295653,-0.4
1,3.5,3.23534481491324,0.245164987216435,1.6
1,2.875,0.56991168826385,-0.475165129862782,1.6
2,1,0.903090829095023,-0.475165129862782,-0.8
0,3.375,-0.0964465933984977,0.0050549481900294,0.4
3,3.25,-2.09552143838554,-0.715275168889188,-0.2
3,3,-0.0964465933984977,-0.715275168889188,1.4
2,4.5,0.236732547432676,-1.43560528596841,2.4
1,2.625,0.236732547432676,0.965495104295653,0.6
2,2.125,0.236732547432676,-0.955385207915594,1.8
2,2.875,0.56991168826385,0.725385065269247,0.6
5,3.875,-0.429625734229671,-0.715275168889188,1.6
3,1.375,0.236732547432676,-1.67571532499481,-0.6
3,2.625,0.903090829095023,-1.67571532499481,0.8
4,2.5,-1.09598401589202,-1.195495246942,2.4
5,1.75,-0.429625734229671,-0.235055090836377,-0.4
1,2.125,-1.42916315672319,0.0050549481900294,-0.4
1,3.25,-0.429625734229671,2.16604529942768,0.8
1,3,-0.762804875060845,0.245164987216435,0.8
1,1.5,0.56991168826385,-0.475165129862782,-0.8
0,3.375,0.56991168826385,-0.235055090836377,1.8
2,2.77777777777778,-0.429625734229671,-1.195495246942,1.2
1,1.44444444444444,-1.09598401589202,0.965495104295653,-1
1,2.33333333333333,0.903090829095023,-0.715275168889188,-0.2
3,3.33333333333333,-0.0964465933984977,-0.475165129862782,0.4
2,2.75,0.56991168826385,0.725385065269247,0.8
3,3.22222222222222,-0.429625734229671,-0.475165129862782,0
1,1.22222222222222,-1.09598401589202,0.245164987216435,-1.2
2,2.66666666666667,-0.762804875060845,0.725385065269247,-0.2
0,4.44444444444444,0.903090829095023,-0.715275168889188,2.2
1,2.66666666666667,-1.09598401589202,1.68582522137487,1.4
1,1.66666666666667,0.56991168826385,-0.235055090836377,0
1,2.44444444444444,2.23580739241972,0.485275026242841,0.8
3,2.55555555555556,-0.429625734229671,-1.195495246942,2.4
2,1.77777777777778,-1.42916315672319,0.965495104295653,-0.8
1,2.77777777777778,1.2362699699262,1.20560514332206,1
2,3.55555555555556,-0.0964465933984977,-1.43560528596841,0.4
