"FTHG","ELO_H","ELO_A"
2,1123.68133177845,1038.76045148553
3,943.04966003883,1169.58289350552
0,926.57267613679,1042.24957469949
1,951.917885369966,1149.85632238671
1,963.850611922235,1136.22194024143
3,1058.51934025499,1142.67916951414
2,997.307974237748,1062.89130898491
1,865.651058956786,1221.0019242412
0,843.424183199083,1147.73651717583
1,1011.0909142669,1149.37684308587
2,1017.75459803251,1118.17357587786
4,1289.22948097133,1111.60991823928
0,918.055949569424,1062.37510439385
0,934.063389686609,1049.25636449077
0,943.849697431773,1105.34104765
1,952.463810651289,1062.04573152529
1,957.293316412571,1138.66468720751
0,1005.36623537891,1043.07807314777
3,936.078823034673,1196.31791066188
1,1059.14130914276,1043.90102129127
1,972.975807363767,1034.95064525833
0,879.937639912289,1095.99863055047
0,1118.17921867289,1035.34712567509
0,997.059927668089,1052.00685624127
1,928.857624118075,1197.47091344155
0,922.958184415976,1176.42130567567
0,916.593875175966,1225.08716527286
0,1075.77733511976,1093.19033671509
1,943.66979942973,1100.95480234448
2,987.95313287954,1093.17483152352
0,918.042730187272,1074.60532101253
3,1051.53882282812,1173.6565616923
0,996.421904577694,1051.76320749995
1,1044.73567269078,1056.75142937325
3,1083.48051838052,1118.94967491738
1,952.522539075797,1149.05496296874
2,1046.01893354638,1043.6324527582
0,1123.57619914406,1025.54726834166
2,993.120320060155,1048.14244582348
0,905.02868025171,1126.49129185479
3,1117.97431515992,1119.68581360779
1,1074.12828339268,1077.42966153768
0,892.713915394058,1243.27238451399
0,918.469147973369,1083.48671967016
0,931.886820027166,1030.77542170289
5,1162.34292745642,1065.06173260032
0,916.769181507294,1081.65368386273
1,973.511059887637,1056.77555773004
0,908.065842207288,1154.13685947428
2,1085.9448403138,1058.63867057396
2,1063.78390339645,1051.56482091041
4,1114.43037962253,1073.43626808305
1,1001.27431072854,1117.59334206458
4,1118.44765588816,1075.79335379131
2,1229.9753762993,1049.70670507409
2,1117.53499865478,1040.34229340569
1,1045.62511862681,1152.53013761048
3,1228.41891738821,1059.16437979202
0,1008.51828784388,1093.34869178774
3,1123.89645150803,1091.81066445797
3,1254.27276202685,1127.45517324629
1,994.451384217431,1140.05022482626
6,1227.79752512778,1096.4360615919
1,996.185374178543,1058.16393268013
1,1091.23201954193,1075.46191523606
5,1202.51470464663,1072.81948051306
1,1046.35985748277,1102.38344414469
2,1039.48811395901,1090.73779552141
1,1073.17614674794,1077.20973600645
0,1121.25867397274,1047.20525964822
0,1071.68764519485,1063.50827622938
0,1006.72122310323,1093.65534655878
0,929.81388281157,1051.26275969987
2,1023.54470973982,1094.5384716991
3,1060.03762481148,1046.1638023119
1,980.418043391335,1089.50640797449
4,1153.75520713362,1044.50464753045
2,1073.44773293693,1062.88150103905
1,1042.63602387074,1056.53260299699
0,1016.95726096521,1035.07813568714
2,1151.11483904385,1047.74522492072
0,1083.39663319455,1069.36248256546
5,1207.56043391979,1069.91336974811
1,1088.08148429532,1080.06978467789
0,962.086274071445,1115.18087302059
1,1016.02723735162,1088.60217531646
2,1154.80780589232,1081.69438758975
3,1188.62880077787,1069.04506732348
2,1390.36855539597,1067.68106191839
3,1042.75742226723,1053.07264625306
1,1012.62689267654,1069.63717231596
1,995.02929324014,1065.30419707836
1,1042.58325146481,1057.23489606779
1,944.928196590474,1078.05531881505
0,1007.84689244397,1038.8534416183
3,1010.04086791255,1145.0999938373
2,1004.17562162308,1123.69960539253
2,1124.74869920795,1033.32947446205
4,1171.68334053928,1081.35581283068
2,1097.61460629347,1103.20328912441
1,998.862923191985,1053.24145004246
2,1094.46420449771,1054.62707190942
2,1082.47188368854,1075.39014853038
3,1116.79585554532,1077.89625660115
1,980.087877859435,1057.17845737878
1,954.967590402158,1108.22243017781
1,1078.59815261241,1109.30327650698
1,1138.84503041434,1006.90270073881
0,900.226807639657,1169.08682597225
1,1039.8475256503,1055.60379047399
2,1088.80073738106,1054.97364959613
1,1018.54325273103,1085.33626997093
1,1059.15356798424,1040.13757698383
1,1049.74299510683,1050.21576272614
5,1240.15680919432,1055.78722011855
1,1005.14913317971,1079.37898427675
1,1066.94760185501,1083.57622200647
0,945.422482752934,1081.86089295075
1,1048.63748608293,1152.44696464416
0,1059.5735011264,1109.2213586369
1,978.266889089999,1051.46019720145
0,1003.54171019821,1046.6071857524
0,932.226558561741,1043.21456858007
2,1124.47936657477,1121.21175934703
2,1001.25761487633,1067.94604355753
1,988.667186557332,1066.21813260293
1,962.240572603845,1041.50335786578
2,1010.80290410466,1098.3636073683
1,1073.57232516464,1126.23326148608
1,970.871058464138,1086.39128630016
1,996.338258728536,1090.14863631193
1,1086.1456515262,1063.85757408055
0,931.228207553023,1068.04978112273
2,1132.86641041342,1089.33720235734
4,1215.80999201873,1043.37338870605
3,1210.90127601038,1070.65872197678
2,1049.10796094964,1054.91318558794
0,1124.1349452367,1099.35228751143
0,936.424605906622,1073.50805122
1,1024.33859048949,1075.25632726121
1,953.270762980374,1113.6917488507
