"FTAG","P90_away_A","AC","AF","AFRM_A"
2,1.6,-0.965282922930843,0.468949568741069,-2.2
2,2.6,-0.965282922930843,-1.12824102389817,-1.2
0,1.9,0.857816036878901,0.012609399415573,-1
0,3.3,0.493196244916952,-1.12824102389817,0.4
1,2.5,-0.965282922930843,0.697119653403817,-1.2
0,2.5,1.22243582884085,-0.671900854572671,-2
0,2.6,-0.236043339006946,-0.215560685247175,-1.6
2,3.5,-1.32990271489279,0.925289738066565,0.4
0,2.6,0.128576452955003,0.697119653403817,-1.8
4,2.5,-0.236043339006946,0.012609399415573,-2.6
1,1.9,-0.600663130968894,0.468949568741069,-1
1,4.6,-0.600663130968894,-0.900070939235419,1.2
0,2,0.493196244916952,-0.900070939235419,-0.6
0,3.54545454545455,2.68091499668864,-0.443730769909923,-1.2
0,3.22222222222222,0.128576452955003,1.15345982272931,0
1,1.72727272727273,1.22243582884085,0.240779484078321,-2
0,2.2,2.3162952047267,0.925289738066565,-1.8
1,1.72727272727273,-1.32990271489279,0.240779484078321,-0.8
2,1.2,-0.600663130968894,0.012609399415573,-1.6
1,2.45454545454545,-0.965282922930843,-2.04092136254916,-1.6
1,2.9,-0.965282922930843,-0.215560685247175,0.2
1,3.36363636363636,-0.600663130968894,-0.900070939235419,0
2,2.81818181818182,0.493196244916952,-0.900070939235419,-1.6
1,2.72727272727273,-0.600663130968894,0.240779484078321,-1
3,3.27272727272727,-0.236043339006946,-0.900070939235419,-0.6
3,4.54545454545455,1.5870556208028,-0.671900854572671,1
0,2.63636363636364,-1.69452250685474,0.240779484078321,-1.8
4,2.36363636363636,0.128576452955003,0.697119653403817,-0.8
0,2.09090909090909,0.128576452955003,0.012609399415573,-0.6
1,1.90909090909091,0.857816036878901,-1.12824102389817,-0.8
0,2.81818181818182,-0.600663130968894,-0.443730769909923,-1.8
2,3.54545454545455,0.493196244916952,1.60979999205481,0.6
0,3.18181818181818,-1.32990271489279,-0.900070939235419,-1
1,3.33333333333333,-1.32990271489279,-0.443730769909923,-0.4
3,2.09090909090909,-0.600663130968894,1.83797007671756,-1.6
1,1.66666666666667,-0.236043339006946,1.83797007671756,-1
3,2.83333333333333,-1.32990271489279,0.925289738066565,-1.8
0,3.33333333333333,1.5870556208028,-1.35641110856092,-1.6
0,1.91666666666667,-0.600663130968894,-0.900070939235419,-0.6
0,2.9,-0.600663130968894,1.15345982272931,-0.4
0,2.33333333333333,-1.69452250685474,0.240779484078321,-0.8
0,1.36363636363636,0.857816036878901,-0.215560685247175,-1
1,2.63636363636364,0.128576452955003,-1.35641110856092,-0.2
2,2.41666666666667,-0.600663130968894,-0.900070939235419,0
0,1.33333333333333,-0.600663130968894,0.012609399415573,-0.6
1,2,-0.600663130968894,0.012609399415573,-1.4
1,3.08333333333333,-0.965282922930843,1.15345982272931,-1.4
2,2,-1.32990271489279,-0.443730769909923,-0.4
0,1.75,-0.965282922930843,1.15345982272931,-0.6
1,3.33333333333333,2.3162952047267,-0.215560685247175,0.2
