"FTAG","ELO_H","ELO_A"
0,925.706201909601,1077.95926145496
0,911.452864675891,1066.85939690371
0,1085.45036058089,1152.37979884335
0,904.904842303873,1097.38792499463
0,949.719912603523,1097.4416659361
1,920.26887065733,1143.49543224008
1,1033.15356623093,1108.69212425176
0,1055.16816857316,1055.33682920126
0,1091.02852639967,1105.61399048212
1,1021.34637002797,1086.69718879421
0,1138.66293457693,1052.99071072019
2,1160.87286219584,1052.12571283672
1,1078.22333202383,1070.33009128571
3,1039.90209575486,1157.50398643165
2,1199.49761217191,1058.76606191548
2,981.852106518554,1117.80788705822
1,1120.77165629127,1094.79024281283
4,1249.0880621542,1121.03197072255
1,988.089488746812,1155.7998363125
1,1183.91052387166,1148.23281387401
0,983.626378850507,1073.38982377993
2,1049.60888050075,1100.34843447726
1,1157.46836484664,1125.66740593451
2,1035.74763109036,1111.53593670418
1,1024.14522968559,1112.94374606901
2,1076.84439466849,1074.12472729822
3,1113.69409666561,1044.25896533939
3,1071.04193151597,1071.5367044055
2,1006.80616005803,1093.19383994197
0,914.278607368705,1085.72139263129
0,1003.10412979339,1126.67454170301
0,990.364498583025,1134.88495809894
0,986.073025452272,1086.22835901229
0,1112.20965501301,1107.6470288401
1,1016.0161028597,1115.76117295717
1,1041.84556789254,1057.97697534046
1,1001.49296137188,1048.54187396458
2,1125.02229879603,1070.52842613573
3,1078.63609070736,1068.46750306318
0,1208.30711956843,1049.66954531881
2,1043.31964223262,1105.81702176635
1,962.363936197503,1096.16898439736
1,1023.37671636187,1079.44469584179
3,1159.73342017929,1090.26657982071
2,1172.71994456563,1078.19837544374
4,1311.26225252125,1033.95578445027
0,1020.82627284139,1100.26579634187
1,941.837029973082,1141.42929683114
0,982.550149195602,1083.79958021752
1,1037.32796744849,1064.21571020972
0,913.220319974863,1128.52513415483
1,1004.80774344468,1042.93335925084
1,995.063281880649,1173.11084221719
0,1025.25337130202,1090.02988770261
1,1092.91338061437,1056.95530449571
1,1166.72075375987,1083.86274297401
2,1106.57816783148,1092.44084281495
0,972.521585066154,1084.76567602243
1,1083.55149576377,1066.44850423623
1,1082.32470807945,1069.46402625929
1,1105.12060701682,1089.5069491744
0,954.302003594568,1112.46360492188
1,933.437109535913,1141.74642145206
3,1084.81205994899,1109.20012319172
3,1136.19914462797,1020.62778546985
0,905.57984547311,1154.73774647848
1,951.269633045596,1138.16682193116
1,1021.62456006012,1111.79977804111
1,1002.15719304305,1108.49910442314
1,1052.72259650473,1046.97983872551
1,1035.89870328487,1063.18706641036
1,1193.35905982379,1096.43177747372
1,1012.11183764277,1079.84508720888
2,1058.34806016871,1091.65193983129
1,919.184143140244,1113.20712015495
3,1060.00972571174,1134.3029876998
4,1078.74231802738,1107.83346355956
0,946.779538623491,1105.00014703675
1,997.043447671482,1053.34807999861
0,896.449736275114,1099.33559113222
3,1131.89848756833,1118.62640004685
0,990.871699017159,1088.58070318294
0,982.391844431948,1069.52612458228
0,889.767618616103,1141.14148636725
0,988.535952597751,1132.383998147
3,1081.37161164435,1120.59770382338
1,901.288171165254,1166.59766711868
0,998.497499149005,1082.84382499733
